id;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;availability_365
10956260;Churriana;Entire home/apt;110,00 ;7;2;21/04/2025;247
18107114;Centro;Entire home/apt;113,00 ;1;4;10/08/2025;297
18882423;Centro;Entire home/apt;70,00 ;1;4;18/08/2025;358
4834767;Centro;Entire home/apt;121,00 ;2;6;19/04/2025;361
9606173;Centro;Entire home/apt;116,00 ;2;3;25/02/2025;123
42066356;Churriana;Private room;79,00 ;1;3;21/09/2025;22
51949595;Centro;Entire home/apt;58,00 ;1;2;28/03/2025;229
590515304375054000;Centro;Entire home/apt;45,00 ;1;2;15/02/2025;211
712043662217332000;Centro;Entire home/apt;98,00 ;1;2;21/02/2025;95
15770815;Centro;Entire home/apt;120,00 ;2;6;27/08/2025;157
17975770;Centro;Entire home/apt;92,00 ;1;6;01/03/2025;27
28603204;Centro;Entire home/apt;118,00 ;1;3;27/06/2025;258
33464966;Carretera de Cadiz;Entire home/apt;148,00 ;4;5;28/09/2025;335
46730603;Bailen-Miraflores;Private room;24,00 ;29;3;31/07/2025;364
46831453;Bailen-Miraflores;Private room;24,00 ;29;3;29/07/2025;364
50182372;Centro;Entire home/apt;95,00 ;1;3;03/09/2025;342
52237506;Centro;Entire home/apt;55,00 ;1;3;13/09/2025;262
669313726826094000;Centro;Entire home/apt;209,00 ;1;2;12/04/2025;304
676477372222754000;Centro;Entire home/apt;94,00 ;1;2;23/08/2025;325
773642314033843000;Centro;Entire home/apt;95,00 ;3;2;17/07/2025;143
13662265;Centro;Entire home/apt;109,00 ;1;7;19/07/2025;255
18286122;Centro;Entire home/apt;250,00 ;1;3;29/07/2025;222
23253864;Centro;Entire home/apt;119,00 ;1;6;26/08/2025;356
27547047;Centro;Entire home/apt;192,00 ;1;6;04/08/2025;44
28438114;Centro;Entire home/apt;90,00 ;2;6;07/09/2025;75
28603205;Centro;Entire home/apt;133,00 ;1;5;18/04/2025;262
30871620;Centro;Private room;243,00 ;1;6;25/08/2025;292
40704784;Centro;Entire home/apt;122,00 ;1;4;09/08/2025;65
49473127;Centro;Entire home/apt;144,00 ;7;4;06/05/2025;334
53521103;Centro;Entire home/apt;139,00 ;1;3;28/07/2025;71
53521148;Centro;Entire home/apt;139,00 ;1;3;17/08/2025;74
53521197;Centro;Entire home/apt;131,00 ;1;3;16/08/2025;64
607783502551420000;Centro;Entire home/apt;93,00 ;1;3;03/06/2025;353
761327667518254000;Ciudad Jardin;Entire home/apt;68,00 ;2;2;22/04/2025;365
846149986729952000;Bailen-Miraflores;Entire home/apt;115,00 ;7;2;17/08/2025;61
856951171613237000;Centro;Entire home/apt;75,00 ;4;2;30/01/2025;317
885369720496491000;Centro;Entire home/apt;127,00 ;2;2;18/08/2025;320
13662272;Centro;Entire home/apt;109,00 ;1;8;22/08/2025;266
23135534;Centro;Entire home/apt;72,00 ;3;7;18/08/2025;179
24649658;Carretera de Cadiz;Entire home/apt;93,00 ;4;7;07/08/2025;62
25706222;Centro;Entire home/apt;101,00 ;1;7;31/03/2025;241
28603202;Centro;Entire home/apt;119,00 ;1;6;27/05/2025;232
33073492;Este;Entire home/apt;298,00 ;1;6;05/08/2025;325
34592596;Este;Entire home/apt;234,00 ;3;6;06/03/2025;112
41387716;Centro;Entire home/apt;45,00 ;1;4;06/08/2025;232
43997618;Carretera de Cadiz;Entire home/apt;110,00 ;1;5;07/01/2025;315
45110635;Cruz De Humilladero;Entire home/apt;158,00 ;1;4;20/05/2025;272
50751719;Centro;Entire home/apt;135,00 ;5;4;09/03/2025;92
50974839;Centro;Entire home/apt;132,00 ;5;4;29/08/2025;33
52432525;Centro;Entire home/apt;39,00 ;30;4;15/01/2025;109
645475901119847000;Teatinos-Universidad;Entire home/apt;120,00 ;2;3;06/08/2025;90
668005898451521000;Este;Entire home/apt;110,00 ;3;3;17/02/2025;42
673943669153953000;Centro;Entire home/apt;89,00 ;1;3;28/04/2025;335
678995975905417000;Centro;Private room;59,00 ;1;2;06/06/2025;300
695513841104766000;Centro;Private room;62,00 ;1;3;26/09/2025;307
785989611983558000;Centro;Entire home/apt;91,00 ;1;2;24/07/2025;333
904104165053344000;Cruz De Humilladero;Entire home/apt;79,00 ;1;2;06/05/2025;361
915980870252239000;Centro;Entire home/apt;120,00 ;2;2;06/04/2025;122
930105560022055000;Carretera de Cadiz;Entire home/apt;55,00 ;1;2;17/02/2025;364
7961545;Este;Entire home/apt;140,00 ;3;11;21/06/2025;218
13662267;Centro;Entire home/apt;109,00 ;1;9;15/03/2025;301
29353610;Centro;Entire home/apt;115,00 ;1;7;21/08/2025;332
41959689;Carretera de Cadiz;Entire home/apt;162,00 ;3;6;13/09/2025;12
43195892;Centro;Entire home/apt;102,00 ;2;5;17/08/2025;167
48053571;Centro;Entire home/apt;130,00 ;2;2;04/08/2025;359
53179824;Centro;Entire home/apt;99,00 ;1;4;13/05/2025;314
765005054462978000;Centro;Private room;59,00 ;2;3;22/08/2025;87
1037523283825140000;Centro;Entire home/apt;67,00 ;1;2;05/05/2025;327
989607;Este;Entire home/apt;98,00 ;4;15;06/06/2025;249
14499262;Centro;Entire home/apt;100,00 ;1;9;20/05/2025;237
18286146;Centro;Entire home/apt;222,00 ;1;8;02/07/2025;227
26942274;Centro;Entire home/apt;179,00 ;1;9;11/07/2025;92
35124086;Centro;Entire home/apt;112,00 ;1;8;03/01/2025;297
46478238;Centro;Entire home/apt;116,00 ;1;5;20/08/2025;312
51784740;Centro;Entire home/apt;177,00 ;1;5;08/06/2025;231
53410375;Centro;Entire home/apt;194,00 ;2;4;09/08/2025;338
576572823690581000;Centro;Entire home/apt;90,00 ;2;4;17/03/2025;131
669943711700330000;Centro;Entire home/apt;142,00 ;1;4;18/08/2025;302
849309541070130000;Centro;Entire home/apt;225,00 ;2;3;25/08/2025;337
858741821994229000;Centro;Entire home/apt;150,00 ;1;3;20/08/2025;266
933860296151039000;Centro;Entire home/apt;145,00 ;2;2;04/04/2025;72
1039704775142430000;Centro;Entire home/apt;101,00 ;1;2;08/03/2025;282
23253858;Centro;Entire home/apt;160,00 ;1;8;06/08/2025;313
27052874;Churriana;Private room;89,00 ;1;10;26/09/2025;41
35296287;Centro;Entire home/apt;398,00 ;3;8;13/08/2025;54
43800148;Carretera de Cadiz;Entire home/apt;81,00 ;2;7;14/09/2025;42
662018639543586000;Centro;Entire home/apt;127,00 ;1;4;29/07/2025;43
663620721918739000;Este;Entire home/apt;94,00 ;1;4;26/05/2025;70
681753576300028000;Centro;Private room;96,00 ;1;4;24/02/2025;337
710136590865012000;Cruz De Humilladero;Entire home/apt;81,00 ;1;3;22/08/2025;147
796861835434956000;Centro;Entire home/apt;75,00 ;2;3;19/09/2025;131
892501189942426000;Centro;Entire home/apt;157,00 ;1;3;23/08/2025;365
909209262318781000;Bailen-Miraflores;Entire home/apt;97,00 ;3;3;09/08/2025;59
912229556159623000;Carretera de Cadiz;Private room;60,00 ;1;3;08/09/2025;365
985917129968048000;Centro;Entire home/apt;60,00 ;1;2;10/06/2025;365
1077398504887840000;Centro;Entire home/apt;135,00 ;3;2;10/05/2025;257
1089825759758230000;Este;Entire home/apt;66,00 ;6;2;29/07/2025;346
1266457644153650000;Centro;Entire home/apt;100,00 ;3;1;06/01/2025;351
1283265699871560000;Centro;Entire home/apt;128,00 ;1;1;01/01/2025;28
1318739551828240000;Centro;Entire home/apt;75,00 ;3;1;03/01/2025;242
5382038;Centro;Entire home/apt;95,00 ;2;16;04/05/2025;189
6762393;Centro;Entire home/apt;95,00 ;2;15;12/06/2025;183
22765087;Centro;Entire home/apt;181,00 ;2;1;02/02/2025;158
23253861;Centro;Entire home/apt;208,00 ;1;3;20/07/2025;341
23881480;Centro;Entire home/apt;103,00 ;2;11;18/08/2025;33
23974568;Este;Entire home/apt;148,00 ;1;10;01/06/2025;94
24567182;Centro;Entire home/apt;176,00 ;5;6;08/08/2025;157
24648422;Carretera de Cadiz;Entire home/apt;86,00 ;4;9;29/04/2025;49
27973462;Centro;Entire home/apt;156,00 ;1;10;09/08/2025;301
28603200;Centro;Entire home/apt;120,00 ;1;7;10/09/2025;244
43994702;Centro;Entire home/apt;81,00 ;1;5;16/03/2025;268
45221270;Centro;Entire home/apt;85,00 ;1;7;18/07/2025;324
47086347;Centro;Entire home/apt;68,00 ;3;7;19/04/2025;221
48751837;Este;Entire home/apt;64,00 ;1;6;11/08/2025;78
51786065;Centro;Entire home/apt;165,00 ;1;2;02/01/2025;274
53521105;Centro;Entire home/apt;134,00 ;1;5;15/06/2025;48
722232351885053000;Centro;Entire home/apt;77,00 ;1;4;04/01/2025;277
754121212242917000;Ciudad Jardin;Entire home/apt;68,00 ;2;4;24/06/2025;345
760626020566703000;Centro;Private room;59,00 ;2;4;07/09/2025;90
762789462491503000;Centro;Entire home/apt;84,00 ;1;4;08/06/2025;42
771462991508800000;Centro;Entire home/apt;153,00 ;1;4;22/06/2025;310
923605595986716000;Carretera de Cadiz;Entire home/apt;110,00 ;2;3;16/04/2025;105
947204894525123000;Bailen-Miraflores;Entire home/apt;91,00 ;2;3;31/08/2025;90
947669073573864000;Centro;Private room;155,00 ;1;3;20/08/2025;314
1004108036154650000;Carretera de Cadiz;Entire home/apt;116,00 ;1;2;17/01/2025;258
1147665074735950000;Cruz De Humilladero;Entire home/apt;72,00 ;1;1;27/01/2025;359
1147672062787990000;Bailen-Miraflores;Entire home/apt;68,00 ;1;2;15/07/2025;345
1258476875494610000;Centro;Entire home/apt;117,00 ;1;1;24/01/2025;296
1319382929517230000;Centro;Private room;55,00 ;1;1;01/02/2025;35
1325473721050990000;Centro;Entire home/apt;78,00 ;1;1;31/01/2025;338
4634360;Centro;Entire home/apt;120,00 ;6;16;23/07/2025;221
8834839;Este;Entire home/apt;479,00 ;5;11;24/08/2025;364
14961323;Centro;Entire home/apt;101,00 ;1;2;19/01/2025;121
24333940;Centro;Entire home/apt;190,00 ;2;11;14/09/2025;92
25600338;Centro;Entire home/apt;171,00 ;1;11;16/09/2025;298
30840899;Carretera de Cadiz;Entire home/apt;143,00 ;1;11;02/09/2025;157
31034401;Este;Entire home/apt;387,00 ;1;8;01/03/2025;216
33111058;Centro;Entire home/apt;215,00 ;2;10;30/05/2025;157
33219138;Centro;Entire home/apt;139,00 ;1;10;08/06/2025;358
33733787;Churriana;Entire home/apt;138,00 ;4;10;30/06/2025;95
43618760;Centro;Entire home/apt;140,00 ;1;8;18/05/2025;233
46575643;Centro;Entire home/apt;212,00 ;1;5;03/05/2025;335
49703175;Carretera de Cadiz;Private room;53,00 ;2;5;31/08/2025;62
51211770;Centro;Entire home/apt;186,00 ;1;6;19/08/2025;361
52949422;Carretera de Cadiz;Entire home/apt;78,00 ;4;6;28/08/2025;66
590025957700549000;Centro;Entire home/apt;178,00 ;1;5;18/08/2025;336
687752552020650000;Centro;Entire home/apt;158,00 ;3;5;16/08/2025;50
801576543468097000;Centro;Entire home/apt;354,00 ;2;4;25/05/2025;329
805438264858676000;Centro;Entire home/apt;90,00 ;2;1;20/02/2025;296
988942770534830000;Carretera de Cadiz;Entire home/apt;300,00 ;3;3;14/01/2025;169
1131556889383640000;Este;Entire home/apt;110,00 ;1;2;24/09/2025;364
1265282560870010000;Centro;Private room;74,00 ;1;1;03/02/2025;160
1279493858632160000;Centro;Entire home/apt;69,00 ;1;1;19/02/2025;314
1284744858394450000;Centro;Entire home/apt;93,00 ;1;1;08/02/2025;309
1323034899661750000;Centro;Entire home/apt;168,00 ;1;1;17/02/2025;324
1328311228743780000;Centro;Entire home/apt;171,00 ;3;1;05/02/2025;222
12837654;Centro;Entire home/apt;75,00 ;3;2;25/03/2025;26
13197127;Bailen-Miraflores;Entire home/apt;79,00 ;2;9;09/09/2025;197
18572405;Centro;Entire home/apt;137,00 ;2;12;29/05/2025;322
27378494;Centro;Entire home/apt;52,00 ;1;5;23/08/2025;293
29202207;Centro;Entire home/apt;60,00 ;1;12;15/04/2025;211
33356129;Este;Entire home/apt;137,00 ;1;9;20/07/2025;3
39211195;Centro;Entire home/apt;98,00 ;1;8;05/08/2025;355
41054947;Cruz De Humilladero;Entire home/apt;91,00 ;1;10;31/03/2025;260
42423555;Centro;Entire home/apt;64,00 ;1;7;29/09/2025;365
42772591;Teatinos-Universidad;Entire home/apt;100,00 ;3;9;28/04/2025;263
48893106;Centro;Entire home/apt;70,00 ;1;6;09/03/2025;229
50837175;Centro;Private room;79,00 ;1;7;27/07/2025;365
562787026196755000;Centro;Entire home/apt;62,00 ;2;6;17/08/2025;129
663620713733867000;Este;Entire home/apt;89,00 ;1;4;21/02/2025;75
785991969104704000;Centro;Entire home/apt;91,00 ;1;4;24/08/2025;313
795312176464074000;Centro;Entire home/apt;396,00 ;2;4;22/06/2025;309
843874661953954000;Centro;Entire home/apt;135,00 ;1;4;15/08/2025;6
947795818662113000;Churriana;Entire home/apt;104,00 ;1;1;07/03/2025;89
968160093335988000;Campanillas;Entire home/apt;250,00 ;1;2;24/08/2025;357
1091233980101220000;Centro;Entire home/apt;97,00 ;1;2;03/05/2025;130
1137161069922440000;Palma-Palmilla;Entire home/apt;122,00 ;3;2;09/08/2025;188
1153038371069400000;Centro;Entire home/apt;172,00 ;1;2;08/06/2025;340
1181823455343620000;Centro;Private room;72,00 ;4;2;11/08/2025;123
1191234848921180000;Centro;Entire home/apt;73,00 ;1;2;29/05/2025;329
1199033302878450000;Carretera de Cadiz;Entire home/apt;87,00 ;1;2;25/08/2025;18
1222255828391710000;Este;Entire home/apt;112,00 ;1;1;24/02/2025;240
1237391459399030000;Cruz De Humilladero;Entire home/apt;144,00 ;2;1;28/02/2025;1
1310008487031310000;Este;Entire home/apt;138,00 ;2;1;23/02/2025;140
1314326121819080000;Centro;Entire home/apt;113,00 ;1;1;02/03/2025;365
1330440318198570000;Centro;Entire home/apt;141,00 ;1;1;04/03/2025;329
1350772495509130000;Cruz De Humilladero;Entire home/apt;108,00 ;1;1;08/03/2025;364
1114114;Carretera de Cadiz;Entire home/apt;203,00 ;1;20;17/08/2025;242
19241827;Teatinos-Universidad;Entire home/apt;132,00 ;5;15;20/08/2025;50
31977229;Centro;Entire home/apt;165,00 ;1;12;13/08/2025;304
33035634;Centro;Entire home/apt;120,00 ;2;12;04/09/2025;66
36554304;Centro;Entire home/apt;62,00 ;4;11;03/09/2025;333
37708416;Centro;Entire home/apt;120,00 ;3;11;18/04/2025;317
42578383;Centro;Entire home/apt;194,00 ;1;7;04/07/2025;285
48751073;Este;Entire home/apt;74,00 ;1;8;30/05/2025;52
53108677;Centro;Entire home/apt;196,00 ;1;4;15/06/2025;120
53521212;Centro;Entire home/apt;131,00 ;1;6;06/08/2025;72
619282191849024000;Centro;Entire home/apt;115,00 ;2;6;22/07/2025;268
701799954897959000;Centro;Entire home/apt;99,00 ;1;5;27/07/2025;339
740590128708905000;Centro;Entire home/apt;150,00 ;30;5;24/02/2025;91
923123583905235000;Bailen-Miraflores;Entire home/apt;80,00 ;3;4;21/03/2025;353
928682341487067000;Centro;Entire home/apt;153,00 ;3;1;17/03/2025;269
943254067104554000;Centro;Entire home/apt;160,00 ;1;4;08/01/2025;326
993252017213117000;Centro;Entire home/apt;121,00 ;2;3;24/08/2025;295
1034117982358170000;Centro;Entire home/apt;83,00 ;1;3;18/07/2025;334
1119642461921330000;Carretera de Cadiz;Private room;75,00 ;1;2;03/06/2025;76
1145756453081650000;Centro;Entire home/apt;126,00 ;3;2;28/09/2025;269
