id;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;availability_365
1448108936792560000;Centro;Entire home/apt;141,00 ;1;1;2025-09-14 00:00:00;297
837002227523115000;Centro;Private room;36,00 ;2;24;2025-09-01 00:00:00;89
20029202;Centro;Entire home/apt;53,00 ;2;305;2025-09-18 00:00:00;224
669552553659358000;Centro;Private room;37,00 ;2;177;2025-09-26 00:00:00;344
726435151818361000;Cruz De Humilladero;Entire home/apt;159,00 ;1;6;2025-02-23 00:00:00;19
1424532475895410000;Centro;Entire home/apt;109,00 ;1;1;2025-06-20 00:00:00;296
655810770013951000;Centro;Entire home/apt;109,00 ;2;23;2025-09-07 00:00:00;80
1484692888014000000;Churriana;Entire home/apt;196,00 ;3;2;2025-08-31 00:00:00;322
26504804;Cruz De Humilladero;Entire home/apt;104,00 ;3;52;2025-09-15 00:00:00;170
1218646690037850000;Centro;Entire home/apt;35,00 ;14;1;2025-05-18 00:00:00;262
1417333916785700000;Centro;Entire home/apt;69,00 ;1;9;2025-08-20 00:00:00;255
39144310;Centro;Entire home/apt;105,00 ;3;64;2025-09-24 00:00:00;154
720912295926222000;Centro;Entire home/apt;76,00 ;2;127;2025-09-21 00:00:00;110
853314035740936000;Centro;Entire home/apt;189,00 ;1;139;2025-09-20 00:00:00;138
829421931494170000;Carretera de Cadiz;Entire home/apt;111,00 ;3;53;2025-09-18 00:00:00;338
1449310024771590000;Centro;Entire home/apt;110,00 ;1;2;2025-07-12 00:00:00;349
669365924285235000;Centro;Entire home/apt;147,00 ;1;41;2025-04-11 00:00:00;188
23892746;Centro;Private room;77,00 ;1;122;2025-09-27 00:00:00;294
1124544318882060000;Centro;Entire home/apt;111,00 ;1;60;2025-09-28 00:00:00;350
1157880473792610000;Centro;Entire home/apt;122,00 ;2;10;2025-09-12 00:00:00;70
693110225221045000;Carretera de Cadiz;Entire home/apt;106,00 ;1;36;2025-08-28 00:00:00;347
1311540502290230000;Cruz De Humilladero;Entire home/apt;65,00 ;1;5;2025-05-01 00:00:00;146
52979772;Centro;Entire home/apt;265,00 ;1;146;2025-09-16 00:00:00;319
5524258;Centro;Entire home/apt;160,00 ;1;100;2025-09-28 00:00:00;361
1440497770656880000;Centro;Entire home/apt;78,00 ;1;7;2025-09-16 00:00:00;342
1176830793862660000;Centro;Entire home/apt;90,00 ;1;6;2025-09-09 00:00:00;353
34146066;Centro;Entire home/apt;116,00 ;4;39;2025-09-15 00:00:00;40
852834328098722000;Centro;Entire home/apt;108,00 ;2;137;2025-09-28 00:00:00;55
49726148;Centro;Entire home/apt;251,00 ;1;7;2025-08-12 00:00:00;331
44408616;Campanillas;Entire home/apt;294,00 ;3;139;2025-09-13 00:00:00;201
1191234848921180000;Centro;Entire home/apt;73,00 ;1;2;2025-05-29 00:00:00;329
1085454276456520000;Carretera de Cadiz;Private room;27,00 ;1;88;2025-09-15 00:00:00;256
1065868497873740000;Centro;Entire home/apt;116,00 ;1;55;2025-09-23 00:00:00;353
694590447953270000;Centro;Entire home/apt;261,00 ;1;64;2025-07-12 00:00:00;249
981633657360684000;Centro;Entire home/apt;96,00 ;2;151;2025-09-21 00:00:00;189
13600690;Centro;Entire home/apt;90,00 ;1;396;2025-09-20 00:00:00;221
28145602;Centro;Entire home/apt;365,00 ;2;35;2025-07-20 00:00:00;317
8515241;Centro;Entire home/apt;84,00 ;2;508;2025-09-28 00:00:00;246
1455792511482080000;Centro;Entire home/apt;130,00 ;1;2;2025-09-13 00:00:00;53
989251632751724000;Centro;Entire home/apt;330,00 ;3;9;2025-06-29 00:00:00;322
1146308322393650000;Centro;Entire home/apt;187,00 ;1;21;2025-09-15 00:00:00;70
1313807372905640000;Centro;Private room;52,00 ;1;10;2025-07-31 00:00:00;360
1118079977896430000;Este;Entire home/apt;98,00 ;2;14;2025-07-31 00:00:00;234
1064465559781320000;Centro;Private room;52,00 ;2;7;2025-05-11 00:00:00;179
43612422;Centro;Entire home/apt;77,00 ;2;182;2025-09-21 00:00:00;269
982359180562223000;Centro;Entire home/apt;89,00 ;6;27;2025-09-27 00:00:00;225
33933444;Este;Entire home/apt;171,00 ;5;95;2025-09-10 00:00:00;6
1128094106697650000;Carretera de Cadiz;Entire home/apt;136,00 ;3;13;2025-07-02 00:00:00;117
14961323;Centro;Entire home/apt;101,00 ;1;2;2025-01-19 00:00:00;121
24597220;Centro;Private room;37,00 ;1;223;2025-09-28 00:00:00;5
689192766885217000;Centro;Entire home/apt;67,00 ;2;6;2025-04-25 00:00:00;320
54213085;Carretera de Cadiz;Private room;59,00 ;1;460;2025-09-25 00:00:00;117
1411421244851060000;Churriana;Entire home/apt;119,00 ;1;1;2025-05-23 00:00:00;6
1185585048279160000;Centro;Entire home/apt;82,00 ;4;8;2025-09-16 00:00:00;224
40954949;Cruz De Humilladero;Entire home/apt;87,00 ;1;21;2025-09-09 00:00:00;359
18137227;Centro;Entire home/apt;134,00 ;3;198;2025-09-24 00:00:00;309
1304459849999420000;Carretera de Cadiz;Entire home/apt;58,00 ;2;6;2025-08-24 00:00:00;303
1118801334291860000;Centro;Private room;34,00 ;1;36;2025-09-10 00:00:00;4
553466099122969000;Centro;Entire home/apt;132,00 ;2;257;2025-09-19 00:00:00;2
1393666338242140000;Carretera de Cadiz;Entire home/apt;82,00 ;1;25;2025-09-25 00:00:00;338
